
===== SHEET: gl_get_glider_data_slocum__2023  (18441x9) =====
DEPLOYMENT	GLIDER PARAMETER	AVAILABLE DATA	JSON FILE	EGO PARAMETER	EGO SENSOR	EGO SENSOR_MAKER	EGO SENSOR_MODEL	EGO SENSOR_SERIAL_NO
Mia_20190521	c_wpt_lat	1						
Mia_20190521	c_wpt_lon	1						
Mia_20190521	m_depth	1						
Mia_20190521	m_gps_lat	1						
Mia_20190521	m_gps_lon	1						
Mia_20190521	m_lat	1						
Mia_20190521	m_lon	1						
Mia_20190521	m_present_secs_into_mission	1						
Mia_20190521	m_present_time	1						
Mia_20190521	m_water_vx	1						
Mia_20190521	m_water_vy	1						
Mia_20190521	sci_flntu_chlor_units	1	Mia_20190521_ECO_FLNTU_3380.json	CHLA	FLUOROMETER_CHLA	WETLABS	ECO_FLNTU	3380
Mia_20190521	sci_flntu_turb_units	1	Mia_20190521_ECO_FLNTU_3380.json	TURBIDITY	BACKSCATTERINGMETER_TURBIDITY	WETLABS	ECO_FLNTU	3380
Mia_20190521	sci_m_present_secs_into_mission	1						
Mia_20190521	sci_m_present_time	1						
Mia_20190521	sci_oxy4_oxygen	1	Mia_20190521_OPTODE_DOXY_0270.json	MOLAR_DOXY	OPTODE_DOXY	AANDERAA	AANDERAA_OPTODE_4330	270
Mia_20190521	sci_oxy4_saturation	1						
Mia_20190521	sci_water_cond	1	Mia_20190521_CTD_9116.json	CNDC	CTD_CNDC	SBE	SBE	9116
Mia_20190521	sci_water_pressure	1	Mia_20190521_CTD_9116.json	PRES	CTD_PRES	SBE	SBE	9116
Mia_20190521	sci_water_temp	1	Mia_20190521_CTD_9116.json	TEMP	CTD_TEMP	SBE	SBE	9116
Mia_20190521	none	-1	Mia_20190521_CTD_9116.json	PSAL	CTD_CNDC	SBE	SBE	9116
Mia_20190521	none	-1	Mia_20190521_OPTODE_DOXY_0270.json	DOXY	OPTODE_DOXY	AANDERAA	AANDERAA_OPTODE_4330	270
Mia_20190721	c_wpt_lat	1						
Mia_20190721	c_wpt_lon	1						
Mia_20190721	m_depth	1						
Mia_20190721	m_gps_lat	1						
Mia_20190721	m_gps_lon	1						
Mia_20190721	m_lat	1						
Mia_20190721	m_lon	1						
Mia_20190721	m_present_secs_into_mission	1						
Mia_20190721	m_present_time	1						
Mia_20190721	m_water_vx	1						
Mia_20190721	m_water_vy	1						
Mia_20190721	sci_flntu_chlor_units	1	Mia_20190721_ECO_FLNTU_3380.json	CHLA	FLUOROMETER_CHLA	WETLABS	ECO_FLNTU	3380
Mia_20190721	sci_flntu_turb_units	1	Mia_20190721_ECO_FLNTU_3380.json	TURBIDITY	BACKSCATTERINGMETER_TURBIDITY	WETLABS	ECO_FLNTU	3380
Mia_20190721	sci_m_present_secs_into_mission	1						
Mia_20190721	sci_m_present_time	1						
Mia_20190721	sci_oxy4_oxygen	1	Mia_20190721_OPTODE_DOXY_0270.json	MOLAR_DOXY	OPTODE_DOXY	AANDERAA	AANDERAA_OPTODE_4330	270
Mia_20190721	sci_oxy4_saturation	1						
Mia_20190721	sci_water_cond	1	Mia_20190721_CTD_9116.json	CNDC	CTD_CNDC	SBE	SBE	9116
Mia_20190721	sci_water_pressure	1	Mia_20190721_CTD_9116.json	PRES	CTD_PRES	SBE	SBE	9116
Mia_20190721	sci_water_temp	1	Mia_20190721_CTD_9116.json	TEMP	CTD_TEMP	SBE	SBE	9116
Mia_20190721	none	-1	Mia_20190721_CTD_9116.json	PSAL	CTD_CNDC	SBE	SBE	9116
Mia_20190721	none	-1	Mia_20190721_OPTODE_DOXY_0270.json	DOXY	OPTODE_DOXY	AANDERAA	AANDERAA_OPTODE_4330	270
Mia_20190924	c_wpt_lat	1						
Mia_20190924	c_wpt_lon	1						
Mia_20190924	m_depth	1						
Mia_20190924	m_gps_lat	1						
Mia_20190924	m_gps_lon	1						
Mia_20190924	m_lat	1						
Mia_20190924	m_lon	1						
Mia_20190924	m_present_secs_into_mission	1						
Mia_20190924	m_present_time	1						
Mia_20190924	m_water_vx	1						
Mia_20190924	m_water_vy	1						
Mia_20190924	sci_flntu_chlor_units	1	Mia_20190924_ECO_FLNTU_3380.json	CHLA	FLUOROMETER_CHLA	WETLABS	ECO_FLNTU	3380
Mia_20190924	sci_flntu_turb_units	1	Mia_20190924_ECO_FLNTU_3380.json	TURBIDITY	BACKSCATTERINGMETER_TURBIDITY	WETLABS	ECO_FLNTU	3380
Mia_20190924	sci_m_present_secs_into_mission	1						
Mia_20190924	sci_m_present_time	1						
Mia_20190924	sci_oxy4_oxygen	1	Mia_20190924_OPTODE_DOXY_0270.json	MOLAR_DOXY	OPTODE_DOXY	AANDERAA	AANDERAA_OPTODE_4330	270
